text,label
It is worth noting that electric cars presents both opportunities and challenges for various communities.,1
It is important to note that online education has both advantages and disadvantages worth examining.,1
"ugh social media again, everyone's talking about it but nobody agrees",0
"When considering climate change, one must take into account multiple perspectives and potential outcomes.",1
It is worth noting that space exploration presents both opportunities and challenges for various communities.,1
"Overall, healthy eating represents a significant area of interest with implications for the future.",1
"my take on artificial intelligence? it's overhyped but whatever, still interesting",0
online education is cool i guess but also kinda scary if you think about it,0
"my take on space exploration? it's overhyped but whatever, still interesting",0
It is important to note that space exploration has both advantages and disadvantages worth examining.,1
"not sure what to think about renewable energy, my friend says it's a big deal",0
climate change is cool i guess but also kinda scary if you think about it,0
"not sure what to think about renewable energy, my friend says it's a big deal",0
"not sure what to think about renewable energy, my friend says it's a big deal",0
"Additionally, research suggests that online education plays a crucial role in shaping modern discourse.",1
It is important to note that space exploration has both advantages and disadvantages worth examining.,1
"lol artificial intelligence is literally all over my feed rn, so annoying",0
"In conclusion, space exploration is a multifaceted issue that requires careful consideration of various factors.",1
"Additionally, research suggests that electric cars plays a crucial role in shaping modern discourse.",1
"ugh renewable energy again, everyone's talking about it but nobody agrees",0
"ok so healthy eating - i have mixed feelings, some good some bad stuff there",0
"Additionally, research suggests that social media plays a crucial role in shaping modern discourse.",1
"In conclusion, electric cars is a multifaceted issue that requires careful consideration of various factors.",1
space exploration is cool i guess but also kinda scary if you think about it,0
"lol space exploration is literally all over my feed rn, so annoying",0
"Additionally, research suggests that urban planning plays a crucial role in shaping modern discourse.",1
"my take on renewable energy? it's overhyped but whatever, still interesting",0
"When considering urban planning, one must take into account multiple perspectives and potential outcomes.",1
"ok so remote work - i have mixed feelings, some good some bad stuff there",0
It is worth noting that online education presents both opportunities and challenges for various communities.,1
"honestly social media is kind of a mess right now, not gonna lie",0
"Additionally, research suggests that artificial intelligence plays a crucial role in shaping modern discourse.",1
"Additionally, research suggests that renewable energy plays a crucial role in shaping modern discourse.",1
"When considering urban planning, one must take into account multiple perspectives and potential outcomes.",1
"so I've been reading about climate change and idk, it's complicated tbh",0
"Furthermore, the impact of social media on society cannot be overstated, as it affects numerous stakeholders.",1
"To summarize, renewable energy is an evolving field that continues to attract considerable attention.",1
electric cars is cool i guess but also kinda scary if you think about it,0
"Furthermore, the impact of climate change on society cannot be overstated, as it affects numerous stakeholders.",1
It is important to note that space exploration has both advantages and disadvantages worth examining.,1
"not sure what to think about online education, my friend says it's a big deal",0
"so I've been reading about urban planning and idk, it's complicated tbh",0
"To summarize, climate change is an evolving field that continues to attract considerable attention.",1
"honestly climate change is kind of a mess right now, not gonna lie",0
"Overall, remote work represents a significant area of interest with implications for the future.",1
"When considering healthy eating, one must take into account multiple perspectives and potential outcomes.",1
"honestly healthy eating is kind of a mess right now, not gonna lie",0
"not sure what to think about healthy eating, my friend says it's a big deal",0
"ugh renewable energy again, everyone's talking about it but nobody agrees",0
"honestly electric cars is kind of a mess right now, not gonna lie",0
"Additionally, research suggests that remote work plays a crucial role in shaping modern discourse.",1
