text,label
you won the office raffle claim your prize at the front desk,0
you won the office raffle claim your prize at the front desk,0
you won the office raffle claim your prize at the front desk,0
final notice claim your free prize before it expires,1
you won the office raffle claim your prize at the front desk,0
exclusive deal free prize only for you click here now,1
cash prize alert you have been selected winner claim now,1
limited offer free iphone text back to claim yours today,1
running a bit late for call be there in ten minutes,0
final notice claim your free cash before it expires,1
hey are we still on for dinner today,0
free lottery ticket click this link to claim your prize now,1
final notice claim your free voucher before it expires,1
meeting moved to noon tomorrow let me know if that works,0
you won the office raffle claim your prize at the front desk,0
let's grab lunch sometime this week,0
your number has won vacation reply now to redeem,1
thanks for the help with the milk yesterday,0
just checking in how was your meeting this weekend,0
you won the office raffle claim your prize at the front desk,0
your number has won gift card reply now to redeem,1
congratulations you have won a voucher claim now,1
just checking in how was your game this weekend,0
congratulations you have won a vacation claim now,1
exclusive deal free gift card only for you click here now,1
meeting moved to noon tomorrow let me know if that works,0
reminder the workout starts at 5pm,0
you are a winner claim your lottery ticket today limited time,1
happy birthday hope you have a great dinner,0
hey are we still on for game today,0
cash prize alert you have been selected winner claim now,1
hey are we still on for game today,0
hey are we still on for game today,0
free gift card click this link to claim your prize now,1
just checking in how was your party this weekend,0
hey are we still on for party today,0
congratulations you have won a voucher claim now,1
you won the office raffle claim your prize at the front desk,0
hey are we still on for call today,0
your number has won vacation reply now to redeem,1
running a bit late for party be there in ten minutes,0
running a bit late for call be there in ten minutes,0
you won the office raffle claim your prize at the front desk,0
you won the office raffle claim your prize at the front desk,0
happy birthday hope you have a great trip,0
the game call is free tonight so feel free to join,0
your number has won voucher reply now to redeem,1
your number has won vacation reply now to redeem,1
final reminder the meeting rsvp deadline is noon today,0
can you pick up milk on your way home,0
limited offer free gift card text back to claim yours today,1
the report on the documents is due by 10am friday,0
happy birthday hope you have a great call,0
congratulations you have won a vacation claim now,1
let's grab lunch sometime this week,0
thanks for the help with the milk yesterday,0
you won the office raffle claim your prize at the front desk,0
you won the office raffle claim your prize at the front desk,0
reminder the meeting starts at 3pm,0
can you pick up the documents on your way home,0
let's grab lunch sometime this week,0
hey are we still on for party today,0
final reminder the game rsvp deadline is 3pm today,0
running a bit late for game be there in ten minutes,0
happy birthday hope you have a great dinner,0
cash prize alert you have been selected winner claim now,1
final reminder the workout rsvp deadline is 10am today,0
just checking in how was your game this weekend,0
thanks so much for the free tickets to the trip tonight,0
just checking in how was your dinner this weekend,0
final reminder the trip rsvp deadline is 9am today,0
hey are we still on for party today,0
let's grab lunch sometime this week,0
reminder the trip starts at 3pm,0
your number has won lottery ticket reply now to redeem,1
running a bit late for trip be there in ten minutes,0
hey are we still on for call today,0
just checking in how was your dinner this weekend,0
free lottery ticket click this link to claim your prize now,1
your number has won cash reply now to redeem,1
act now to get vacation for free no cost no catch,1
thanks so much for the free tickets to the game tonight,0
hey are we still on for call today,0
the report on groceries is due by 3pm friday,0
let's grab lunch sometime this week,0
let's grab lunch sometime this week,0
your number has won iphone reply now to redeem,1
hey are we still on for trip today,0
running a bit late for game be there in ten minutes,0
final reminder the trip rsvp deadline is 10am today,0
free iphone click this link to claim your prize now,1
the report on the project is due by 3pm friday,0
let's grab lunch sometime this week,0
free vacation click this link to claim your prize now,1
your number has won cash reply now to redeem,1
final reminder the meeting rsvp deadline is noon today,0
thanks for the help with the the invoice yesterday,0
cash prize alert you have been selected winner claim now,1
you won the office raffle claim your prize at the front desk,0
free prize click this link to claim your prize now,1
happy birthday hope you have a great party,0
hey are we still on for call today,0
exclusive deal free gift card only for you click here now,1
urgent your account will be suspended verify now,1
happy birthday hope you have a great meeting,0
just checking in how was your party this weekend,0
the meeting call is free tonight so feel free to join,0
hey are we still on for meeting today,0
limited offer free voucher text back to claim yours today,1
your number has won vacation reply now to redeem,1
let's grab lunch sometime this week,0
meeting moved to 10am tomorrow let me know if that works,0
thanks so much for the free tickets to the workout tonight,0
exclusive deal free lottery ticket only for you click here now,1
thanks so much for the free tickets to the trip tonight,0
thanks for the help with the the invoice yesterday,0
urgent your account will be suspended verify now,1
meeting moved to 3pm tomorrow let me know if that works,0
