text,label
this product is a miracle everyone should own one immediately,1
wow just wow this product is life changing everyone needs this,1
does the job but the handle feels a bit cheap overall okay purchase,0
this product is a miracle everyone should own one immediately,1
perfect item exceeded all expectations best purchase ever made,1
solid product does what it says would consider buying again,0
the screen broke after a few weeks otherwise it was fine,0
does the job but the casing feels a bit cheap overall okay purchase,0
amazing product genuinely happy with this purchase five stars from me,0
perfect item exceeded all expectations best purchase ever made,1
wow just wow this product is life changing everyone needs this,1
best battery replacement i've bought so far highly recommend it,0
good value took a few days to arrive works fine so far,0
best lid replacement i've bought so far highly recommend it,0
the screen broke after a few weeks otherwise it was fine,0
decent quality for the price had a minor issue with the casing,0
the lid broke after a few weeks otherwise it was fine,0
this product is a miracle everyone should own one immediately,1
arrived on time packaging was fine product matches the description,0
best purchase of my life amazing quality super fast shipping perfect,1
decent quality for the price had a minor issue with the battery,0
amazing product highly recommend everyone should buy this now,1
the product works as described shipping took about two days,0
amazing product genuinely happy with this purchase five stars from me,0
average experience the handle could be better but it works,0
best strap replacement i've bought so far highly recommend it,0
amazing product genuinely happy with this purchase five stars from me,0
does the job but the screen feels a bit cheap overall okay purchase,0
perfect item exceeded all expectations best purchase ever made,1
does the job but the handle feels a bit cheap overall okay purchase,0
best product ever! ! ! five stars amazing perfect buy now,1
incredible quality changed my life buy it immediately five stars,1
the strap broke after a few weeks otherwise it was fine,0
perfect item exceeded all expectations best purchase ever made,1
best purchase of my life amazing quality super fast shipping perfect,1
arrived on time packaging was fine product matches the description,0
arrived on time packaging was fine product matches the description,0
amazing product highly recommend everyone should buy this now,1
good value took a few days to arrive works fine so far,0
solid product does what it says would consider buying again,0
arrived on time packaging was fine product matches the description,0
good value took a few days to arrive works fine so far,0
wow just wow this product is life changing everyone needs this,1
five stars amazing incredible perfect must buy right now today,1
average experience the handle could be better but it works,0
incredible quality changed my life buy it immediately five stars,1
average experience the screen could be better but it works,0
good value took a few days to arrive works fine so far,0
decent quality for the price had a minor issue with the screen,0
the battery broke after a few weeks otherwise it was fine,0
perfect item exceeded all expectations best purchase ever made,1
this product is a miracle everyone should own one immediately,1
five stars amazing incredible perfect must buy right now today,1
amazing product genuinely happy with this purchase five stars from me,0
solid product does what it says would consider buying again,0
amazing product highly recommend everyone should buy this now,1
the casing broke after a few weeks otherwise it was fine,0
arrived on time packaging was fine product matches the description,0
good value took a few days to arrive works fine so far,0
does the job but the handle feels a bit cheap overall okay purchase,0
the product works as described shipping took about two days,0
perfect item exceeded all expectations best purchase ever made,1
perfect item exceeded all expectations best purchase ever made,1
incredible quality changed my life buy it immediately five stars,1
the casing broke after a few weeks otherwise it was fine,0
good value took a few days to arrive works fine so far,0
this product is a miracle everyone should own one immediately,1
the product works as described shipping took about two days,0
best strap replacement i've bought so far highly recommend it,0
the product works as described shipping took about five days,0
five stars amazing incredible perfect must buy right now today,1
best handle replacement i've bought so far highly recommend it,0
best product ever! ! ! five stars amazing perfect buy now,1
arrived on time packaging was fine product matches the description,0
this product is a miracle everyone should own one immediately,1
good value took a few days to arrive works fine so far,0
solid product does what it says would consider buying again,0
best purchase of my life amazing quality super fast shipping perfect,1
this product is a miracle everyone should own one immediately,1
perfect item exceeded all expectations best purchase ever made,1
incredible quality changed my life buy it immediately five stars,1
the product works as described shipping took about two days,0
perfect item exceeded all expectations best purchase ever made,1
average experience the lid could be better but it works,0
amazing product genuinely happy with this purchase five stars from me,0
best product ever! ! ! five stars amazing perfect buy now,1
good value took a few days to arrive works fine so far,0
this product is a miracle everyone should own one immediately,1
best purchase of my life amazing quality super fast shipping perfect,1
perfect item exceeded all expectations best purchase ever made,1
wow just wow this product is life changing everyone needs this,1
the product works as described shipping took about five days,0
amazing product genuinely happy with this purchase five stars from me,0
arrived on time packaging was fine product matches the description,0
five stars amazing incredible perfect must buy right now today,1
perfect item exceeded all expectations best purchase ever made,1
wow just wow this product is life changing everyone needs this,1
this product is a miracle everyone should own one immediately,1
solid product does what it says would consider buying again,0
does the job but the handle feels a bit cheap overall okay purchase,0
best purchase of my life amazing quality super fast shipping perfect,1
best purchase of my life amazing quality super fast shipping perfect,1
the casing broke after a few weeks otherwise it was fine,0
this product is a miracle everyone should own one immediately,1
decent quality for the price had a minor issue with the lid,0
arrived on time packaging was fine product matches the description,0
arrived on time packaging was fine product matches the description,0
wow just wow this product is life changing everyone needs this,1
the product works as described shipping took about seven days,0
the product works as described shipping took about five days,0
does the job but the casing feels a bit cheap overall okay purchase,0
the product works as described shipping took about two days,0
the screen broke after a few weeks otherwise it was fine,0
solid product does what it says would consider buying again,0
amazing product genuinely happy with this purchase five stars from me,0
incredible quality changed my life buy it immediately five stars,1
perfect item exceeded all expectations best purchase ever made,1
arrived on time packaging was fine product matches the description,0
best handle replacement i've bought so far highly recommend it,0
best casing replacement i've bought so far highly recommend it,0
decent quality for the price had a minor issue with the handle,0
solid product does what it says would consider buying again,0
amazing product highly recommend everyone should buy this now,1
decent quality for the price had a minor issue with the strap,0
five stars amazing incredible perfect must buy right now today,1
amazing product highly recommend everyone should buy this now,1
does the job but the handle feels a bit cheap overall okay purchase,0
incredible quality changed my life buy it immediately five stars,1
perfect item exceeded all expectations best purchase ever made,1
solid product does what it says would consider buying again,0
amazing product highly recommend everyone should buy this now,1
incredible quality changed my life buy it immediately five stars,1
arrived on time packaging was fine product matches the description,0
wow just wow this product is life changing everyone needs this,1
best handle replacement i've bought so far highly recommend it,0
does the job but the strap feels a bit cheap overall okay purchase,0
the screen broke after a few weeks otherwise it was fine,0
incredible quality changed my life buy it immediately five stars,1
wow just wow this product is life changing everyone needs this,1
arrived on time packaging was fine product matches the description,0
the product works as described shipping took about five days,0
amazing product highly recommend everyone should buy this now,1
average experience the battery could be better but it works,0
amazing product genuinely happy with this purchase five stars from me,0
average experience the screen could be better but it works,0
amazing product highly recommend everyone should buy this now,1
best lid replacement i've bought so far highly recommend it,0
solid product does what it says would consider buying again,0
the battery broke after a few weeks otherwise it was fine,0
good value took a few days to arrive works fine so far,0
the screen broke after a few weeks otherwise it was fine,0
best casing replacement i've bought so far highly recommend it,0
perfect item exceeded all expectations best purchase ever made,1
arrived on time packaging was fine product matches the description,0
does the job but the casing feels a bit cheap overall okay purchase,0
good value took a few days to arrive works fine so far,0
does the job but the lid feels a bit cheap overall okay purchase,0
perfect item exceeded all expectations best purchase ever made,1
amazing product highly recommend everyone should buy this now,1
wow just wow this product is life changing everyone needs this,1
five stars amazing incredible perfect must buy right now today,1
best lid replacement i've bought so far highly recommend it,0
good value took a few days to arrive works fine so far,0
best product ever! ! ! five stars amazing perfect buy now,1
decent quality for the price had a minor issue with the screen,0
average experience the casing could be better but it works,0
amazing product highly recommend everyone should buy this now,1
wow just wow this product is life changing everyone needs this,1
good value took a few days to arrive works fine so far,0
the product works as described shipping took about two days,0
does the job but the battery feels a bit cheap overall okay purchase,0
does the job but the handle feels a bit cheap overall okay purchase,0
five stars amazing incredible perfect must buy right now today,1
amazing product genuinely happy with this purchase five stars from me,0
this product is a miracle everyone should own one immediately,1
the product works as described shipping took about five days,0
perfect item exceeded all expectations best purchase ever made,1
amazing product genuinely happy with this purchase five stars from me,0
amazing product highly recommend everyone should buy this now,1
incredible quality changed my life buy it immediately five stars,1
perfect item exceeded all expectations best purchase ever made,1
best product ever! ! ! five stars amazing perfect buy now,1
incredible quality changed my life buy it immediately five stars,1
wow just wow this product is life changing everyone needs this,1
decent quality for the price had a minor issue with the strap,0
solid product does what it says would consider buying again,0
the screen broke after a few weeks otherwise it was fine,0
decent quality for the price had a minor issue with the lid,0
solid product does what it says would consider buying again,0
decent quality for the price had a minor issue with the battery,0
